idx,pred,true
2887,0.6079,0.50980395
2898,0.5895531,0.5094563
2900,0.57584774,0.509434
2910,0.49581277,0.5090909
2915,0.5099808,0.5089286
2924,0.50762624,0.508547
2936,0.43186128,0.5081081
2939,0.5226395,0.5080169
2954,0.4305004,0.5072464
2964,0.4332018,0.5070047
2965,0.49755627,0.506986
2966,0.43413618,0.5069444
2971,0.44187337,0.5068226
2972,0.53624105,0.5067638
2975,0.43607587,0.50666666
2977,0.46587068,0.5066298
2980,0.4458744,0.50641024
2984,0.5302831,0.5063291
2986,0.46400565,0.5062241
2988,0.60645413,0.5060241
2991,0.530539,0.50595236
2992,0.56949556,0.5058824
3001,0.51321197,0.505618
3005,0.53631216,0.5053192
3017,0.50052536,0.5046729
3020,0.48951274,0.50446427
3032,0.50048214,0.5039788
3038,0.51388484,0.5037037
3041,0.41741815,0.5034722
3044,0.5004585,0.5033113
3053,0.5003306,0.5029014
3057,0.41304666,0.50268817
3060,0.46209544,0.50256413
3062,0.48150265,0.5025381
3063,0.64432216,0.5025381
3071,0.42827,0.5021834
3072,0.52030325,0.5021834
3073,0.535193,0.5021645
3076,0.4937347,0.50199205
3080,0.44255933,0.5016949
3098,0.5338569,0.5
3099,0.47995192,0.5
3102,0.4912421,0.5
3105,0.3966571,0.5
3106,0.52168864,0.5
3111,0.5523641,0.5
3125,0.4333983,0.5
3135,0.4986397,0.5
3143,0.56400776,0.5
3144,0.54751897,0.5
3147,0.4827414,0.5
3154,0.59655654,0.5
3160,0.41628993,0.5
3172,0.51979625,0.5
3184,0.56704736,0.5
3186,0.46548182,0.5
3188,0.52060246,0.5
3191,0.5531412,0.5
3193,0.58975303,0.5
3194,0.4703775,0.5
3195,0.54078746,0.5
3200,0.437968,0.5
3207,0.6710007,0.5
3214,0.47040457,0.5
3221,0.5815462,0.5
3227,0.6151936,0.5
3239,0.39495075,0.5
3240,0.54630005,0.5
3241,0.5058218,0.5
3248,0.50953376,0.4988781
3253,0.52241945,0.4987593
3255,0.5255014,0.49872124
3258,0.5326928,0.49866667
3263,0.43673995,0.49832776
3265,0.46695584,0.498004
3277,0.48628512,0.49721706
3283,0.52495813,0.497006
3284,0.3982634,0.497006
3288,0.5365193,0.49691358
3290,0.5104164,0.4968153
3291,0.40435606,0.4968153
3295,0.3939122,0.49668875
3298,0.50007075,0.49663174
3302,0.5093088,0.49618322
3304,0.43538165,0.49612403
3309,0.5299698,0.49603173
3314,0.52720976,0.4959217
3316,0.44305128,0.49579832
3321,0.48223805,0.49565217
3323,0.5543798,0.49557522
3326,0.45965454,0.4954955
3327,0.5710087,0.49541286
3333,0.5180099,0.49509802
3337,0.56088495,0.4949495
3342,0.5338776,0.4948097
3349,0.42177245,0.49462366
3352,0.43623608,0.4945055
3366,0.5007104,0.49418604
3367,0.50429696,0.49414414
3368,0.38011146,0.49382716
3374,0.39333576,0.49367088
3383,0.6141485,0.49315068
3387,0.46899396,0.49315068
3388,0.5225301,0.49315068
3390,0.48299387,0.49302325
3406,0.41884673,0.49242425
3407,0.4969204,0.49242425
3417,0.63928473,0.4920635
3418,0.4124915,0.4920635
3420,0.5120166,0.4920635
3430,0.47842926,0.4915254
3443,0.51928204,0.49107143
3445,0.56754833,0.49106205
3461,0.4753214,0.49056605
3462,0.5207157,0.49056605
3470,0.51973903,0.4903846
3474,0.5006527,0.4902655
3475,0.45519328,0.49025974
