idx,pred,true,pred_bin_05,pred_bin_best,best_threshold
208,0.003848572,0.0,0,0,0.34254003
209,0.0017030694,0.0,0,0,0.34254003
210,0.29619315,0.0,0,0,0.34254003
213,0.0057374937,0.0,0,0,0.34254003
218,0.012795241,0.0,0,0,0.34254003
224,0.00089685724,0.0,0,0,0.34254003
225,0.38916215,0.0,0,1,0.34254003
230,0.9964144,1.0,1,1,0.34254003
236,0.00018424603,0.0,0,0,0.34254003
252,0.54239666,1.0,1,1,0.34254003
254,0.35145187,0.0,0,1,0.34254003
261,0.0014619498,0.0,0,0,0.34254003
264,0.14860393,0.0,0,0,0.34254003
268,0.5214812,0.0,1,1,0.34254003
271,0.22173567,0.0,0,0,0.34254003
276,0.19138227,0.0,0,0,0.34254003
302,6.868379e-07,0.0,0,0,0.34254003
308,0.45056042,1.0,0,1,0.34254003
309,0.0010940962,0.0,0,0,0.34254003
313,0.7272699,1.0,1,1,0.34254003
314,5.8776328e-05,0.0,0,0,0.34254003
316,0.09967954,0.0,0,0,0.34254003
326,0.0043606777,0.0,0,0,0.34254003
327,0.25284696,0.0,0,0,0.34254003
331,8.3512285e-05,0.0,0,0,0.34254003
332,0.30227694,0.0,0,0,0.34254003
349,0.00043642905,0.0,0,0,0.34254003
353,0.00031719563,0.0,0,0,0.34254003
361,0.0034334182,0.0,0,0,0.34254003
366,0.005234713,0.0,0,0,0.34254003
367,0.009745368,0.0,0,0,0.34254003
370,0.00046259235,0.0,0,0,0.34254003
371,4.3193348e-05,0.0,0,0,0.34254003
373,0.15314034,1.0,0,0,0.34254003
375,0.9767818,1.0,1,1,0.34254003
380,0.8713799,0.0,1,1,0.34254003
388,0.00197587,0.0,0,0,0.34254003
393,0.3464153,1.0,0,1,0.34254003
398,0.32452768,0.0,0,0,0.34254003
401,0.9976749,1.0,1,1,0.34254003
402,0.003149244,0.0,0,0,0.34254003
421,0.84640044,0.0,1,1,0.34254003
424,0.15739755,0.0,0,0,0.34254003
426,0.0017337993,0.0,0,0,0.34254003
433,1.8697821e-06,0.0,0,0,0.34254003
434,0.0012957169,0.0,0,0,0.34254003
437,0.0005482618,0.0,0,0,0.34254003
447,0.0068243877,0.0,0,0,0.34254003
455,9.308706e-05,0.0,0,0,0.34254003
457,0.004224244,0.0,0,0,0.34254003
461,2.1853666e-06,0.0,0,0,0.34254003
472,0.0004118932,0.0,0,0,0.34254003
475,0.13542211,1.0,0,0,0.34254003
477,0.0016555657,0.0,0,0,0.34254003
480,0.03391127,0.0,0,0,0.34254003
485,0.05701528,0.0,0,0,0.34254003
487,0.0031650627,0.0,0,0,0.34254003
490,0.00012614999,0.0,0,0,0.34254003
492,0.026646297,0.0,0,0,0.34254003
493,0.8360788,1.0,1,1,0.34254003
503,0.0014661122,0.0,0,0,0.34254003
529,0.97168636,1.0,1,1,0.34254003
535,0.012878469,0.0,0,0,0.34254003
541,0.0020295698,0.0,0,0,0.34254003
543,0.86453617,1.0,1,1,0.34254003
552,0.0068614734,0.0,0,0,0.34254003
554,0.000660366,0.0,0,0,0.34254003
558,0.872795,1.0,1,1,0.34254003
563,0.0011567798,0.0,0,0,0.34254003
564,0.009943016,0.0,0,0,0.34254003
569,0.0083907945,0.0,0,0,0.34254003
581,0.0010077769,0.0,0,0,0.34254003
592,0.042953666,0.0,0,0,0.34254003
594,0.0006881213,0.0,0,0,0.34254003
596,0.0022020368,0.0,0,0,0.34254003
602,0.65004736,1.0,1,1,0.34254003
609,0.16406468,0.0,0,0,0.34254003
612,0.17950034,0.0,0,0,0.34254003
613,0.1411463,0.0,0,0,0.34254003
614,0.004721835,0.0,0,0,0.34254003
622,7.443646e-05,0.0,0,0,0.34254003
630,3.461619e-05,0.0,0,0,0.34254003
634,0.13056135,1.0,0,0,0.34254003
637,0.21501131,0.0,0,0,0.34254003
649,0.00087546394,1.0,0,0,0.34254003
657,0.94321734,0.0,1,1,0.34254003
664,0.016530223,0.0,0,0,0.34254003
665,0.00019674857,0.0,0,0,0.34254003
666,0.0017464601,0.0,0,0,0.34254003
667,0.001173309,0.0,0,0,0.34254003
671,9.268237e-06,0.0,0,0,0.34254003
672,0.39361304,1.0,0,1,0.34254003
683,0.18520091,0.0,0,0,0.34254003
694,0.20056294,1.0,0,0,0.34254003
698,0.025200292,0.0,0,0,0.34254003
702,0.0016731229,0.0,0,0,0.34254003
703,0.020866532,0.0,0,0,0.34254003
